Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.069162,0.065135,0.20892,0,0,0,0.66309,0.00073203,1.8952E-15,-5.1066E-10,0.00085803,-1.0534E-15,0.00078139,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,,link_base_part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0076561,0.06612,-1.5266E-07,0,0,0,0.44894,0.00037455,-6.3658E-06,-6.4411E-14,0.00040652,-1.7327E-09,0.0004125,0,0,0,0,0,0,package://robot_arm/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_1.STL,,link_1_part-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.069162,-0.20892,0.11841,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link_2,0.021945,0.098953,-7.9847E-08,0,0,0,0.58247,0.00091809,-5.3857E-06,2.5866E-09,0.00047586,4.2711E-11,0.00083079,0,0,0,0,0,0,package://robot_arm/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_2.STL,,link_2_part-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,0.073,0,0,0,0,link_1,1,0,0,0,0,0,0,,,,,,,,
link_3,-0.0076561,0.071348,1.2211E-07,0,0,0,0.44894,0.00037455,6.3658E-06,-6.2902E-14,0.00040652,-2.591E-09,0.0004125,0,0,0,0,0,0,package://robot_arm/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_3.STL,,link_3_part-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.003,0.14577,0,0,0,0,link_2,0,1,0,0,0,0,0,,,,,,,,
link_4,-0.021945,0.098953,-4.2218E-08,0,0,0,0.58247,0.00091809,5.3857E-06,-1.7371E-09,0.00047586,-4.2713E-11,0.00083079,0,0,0,0,0,0,package://robot_arm/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_4.STL,,link_4_part-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0,0.078228,0,0,0,0,link_3,1,0,0,0,0,0,0,,,,,,,,
link_5,0.0076561,0.06612,-1.5266E-07,0,0,0,0.44894,0.00037455,-6.3658E-06,-6.4411E-14,0.00040652,-1.7327E-09,0.0004125,0,0,0,0,0,0,package://robot_arm/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_5.STL,,link_5_part-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,-0.003,0.151,0,0,0,0,link_4,0,1,0,0,0,0,0,,,,,,,,
link_6,0.050478,0.08437,3.9628E-09,0,0,0,0.23241,0.0006035,-5.3857E-06,-3.3767E-12,0.00024562,4.2713E-11,0.00051619,0,0,0,0,0,0,package://robot_arm/meshes/link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_6.STL,,link_6_part-1,Origin_joint_6,Axis_joint_6,joint_6,revolute,0,0.073,0,0,0,0,link_5,1,0,0,0,0,0,0,,,,,,,,
link_hand,0.0030002,0.10863,6.7617E-08,0,0,0,0.35005,0.0003146,2.1023E-15,-1.7338E-09,0.00023023,-5.1668E-16,0.0003146,0,0,0,0,0,0,package://robot_arm/meshes/link_hand.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm/meshes/link_hand.STL,,link_hand_part-1,Origin_joint_7,Axis_joint_7,joint_7,revolute,0,0,0,0,0,0,link_6,0,1,0,0,0,0,0,,,,,,,,
